Latitude	Longitude	Snow Depth
71.37709	-156.3396	68.503
71.37709	-156.33962	63.799
71.37709	-156.33962	29.992
71.37709	-156.33963	12.815
71.37707	-156.33965	24.347
71.37706	-156.33967	19.461
71.37706	-156.33967	16.517
71.37706	-156.33968	43.223
71.37706	-156.3397	44.255
71.37706	-156.3397	19.158
71.37704	-156.33973	8.445
71.37704	-156.33975	6.5635
71.37702	-156.33977	4.2267
71.37702	-156.33982	1.981
71.37701	-156.33985	3.9536
71.37701	-156.33985	3.6807
71.37699	-156.33988	2.9219
71.37699	-156.33992	1.5259
71.37697	-156.33997	2.1329
71.37692	-156.33968	6.9583
71.37697	-156.33993	1.2224
71.37697	-156.33995	3.0433
71.37696	-156.33997	0.76717
71.37696	-156.33998	0.55473
71.37694	-156.34002	0.64577
71.37694	-156.34005	0.40299
71.37692	-156.34008	0.49403
71.37692	-156.3401	0.73682
71.37691	-156.34013	0.00846
71.37689	-156.34017	1.0706
71.37687	-156.34022	-0.17363
71.37687	-156.34022	0.19055
71.37687	-156.34025	0.12985
71.37687	-156.34025	2.0723
71.37686	-156.3403	0.22095
71.37686	-156.34032	0.88863
71.37684	-156.34033	0.4334
71.37684	-156.34035	0.312
71.37684	-156.34037	0.52444
71.37682	-156.34038	0.1906
71.37682	-156.34043	0.91898
71.37681	-156.34048	0.55479
71.37679	-156.3405	0.91898
71.37679	-156.34055	0.94933
71.37679	-156.34057	0.70659
71.37677	-156.34062	0.97974
71.37676	-156.34063	0.76729
71.37676	-156.34065	1.1922
71.37674	-156.3407	0.91904
71.37674	-156.34073	1.8599
71.37672	-156.34075	1.6778
71.37672	-156.34077	1.0404
71.37671	-156.34082	-0.2039
71.37669	-156.34085	1.7385
71.37669	-156.34088	1.2832
71.37667	-156.3409	1.6171
71.37666	-156.34093	0.43344
71.37666	-156.34095	1.3743
71.37664	-156.34098	1.1922
71.37664	-156.34102	1.9206
71.37662	-156.34105	1.5564
71.37661	-156.3411	1.1315
71.37661	-156.34112	1.2529
71.37661	-156.34113	-0.2646
71.37657	-156.3412	0.46383
71.37657	-156.34122	2.4063
