Latitude	Longitude	Snow Depth
71.36699	-156.56135	6.547
71.36699	-156.56122	5.3778
71.36701	-156.56107	3.2991
71.36703	-156.56095	4.1436
71.36704	-156.56082	10.25
71.36706	-156.56069	13.302
71.36708	-156.56052	17.07
71.36711	-156.56042	11.614
71.36711	-156.56027	8.041
71.36714	-156.56014	9.0803
71.36714	-156.55999	9.7953
71.36716	-156.55985	8.4311
71.36718	-156.55974	7.9114
71.36719	-156.55962	17.85
71.36723	-156.55944	13.433
71.36724	-156.55935	26.425
71.36726	-156.55919	11.354
71.36728	-156.55904	1.6752
71.36729	-156.5589	4.0138
71.36733	-156.55879	4.1437
71.36734	-156.55862	3.7864
71.36736	-156.55849	3.3642
71.36738	-156.55835	4.1437
71.36739	-156.5582	6.7421
71.36743	-156.55809	22.463
71.36743	-156.55792	19.8
71.36744	-156.5578	12.264
71.36746	-156.55764	8.1066
71.36748	-156.55754	4.8584
71.36749	-156.55739	4.4686
71.36751	-156.55722	3.1694
71.36754	-156.5571	12.264
71.36754	-156.557	5.4431
71.36756	-156.55682	7.327
71.36759	-156.55669	8.2365
71.36761	-156.55655	7.9119
71.36763	-156.5564	7.847
71.36764	-156.55629	23.374
71.36766	-156.55614	18.761
71.36768	-156.55601	4.2738
71.36769	-156.55587	4.0789
71.36771	-156.55576	3.4293
71.36773	-156.55561	3.1044
71.36774	-156.55547	2.7146
71.36776	-156.55536	5.3133
71.36778	-156.55522	5.963
71.36779	-156.55507	5.833
71.36783	-156.55494	5.5082
71.36784	-156.55481	4.9235
71.36786	-156.55467	3.7541
71.36788	-156.55456	3.0395
71.36789	-156.55439	3.2994
71.36791	-156.55427	3.2344
71.36793	-156.55414	5.2484
71.36794	-156.55402	3.7541
71.36796	-156.55387	3.6242
71.36798	-156.55374	7.0675
71.36801	-156.55361	14.864
71.36803	-156.55347	8.4968
71.36804	-156.55334	2.1949
71.36808	-156.55321	2.942
71.36809	-156.55307	7.2624
71.36809	-156.55292	14.864
71.36813	-156.55281	14.019
71.36814	-156.55267	10.511
71.36816	-156.55254	9.7964
71.36819	-156.55239	6.6778
71.36821	-156.55227	4.4039
71.36823	-156.55219	3.9491
71.36824	-156.55204	2.7796
71.36826	-156.55189	2.9096
71.36828	-156.55179	6.9377
71.36829	-156.55162	19.087
71.36831	-156.55149	8.8868
71.36833	-156.55137	10.446
71.36834	-156.55122	10.511
71.36836	-156.55111	5.2485
71.36838	-156.55094	2.9746
71.36839	-156.55084	7.1326
71.36841	-156.55069	17.138
71.36843	-156.55061	23.732
71.36846	-156.55044	24.87
71.36848	-156.55034	19.607
71.36849	-156.55022	11.356
71.36851	-156.55007	18.958
71.36853	-156.54996	15.839
71.36854	-156.54982	14.734
71.36858	-156.54972	7.5226
71.36859	-156.54962	4.4689
71.36861	-156.54947	3.5593
71.36863	-156.5493	4.7613
71.36864	-156.54918	3.8842
71.36868	-156.54907	4.0791
71.36869	-156.54893	4.8587
71.36871	-156.54875	3.6893
71.36873	-156.54862	5.3135
71.36874	-156.54847	4.7938
71.36878	-156.54833	6.7429
71.36879	-156.54822	7.6525
71.36881	-156.54807	7.3281
71.36883	-156.54795	6.2885
71.36884	-156.5478	12.266
71.36886	-156.54768	21.623
71.36888	-156.54753	19.706
71.36889	-156.54737	3.2346
71.36893	-156.54723	3.4945
71.36894	-156.5471	3.5594
71.36894	-156.54697	3.4945
71.36897	-156.54683	4.0468
71.36899	-156.54673	7.7179
71.36901	-156.54658	6.4834
71.36902	-156.54643	6.6133
71.36906	-156.54632	7.0032
71.36907	-156.5462	6.5487
71.36911	-156.54607	3.6245
71.36912	-156.54593	29.552
71.36916	-156.5458	7.9782
71.36917	-156.5457	35.214
71.36919	-156.54557	6.0299
71.36921	-156.54545	6.1274
71.36922	-156.54532	3.8199
71.36926	-156.54519	4.5674
