Latitude	Longitude	Snow Depth
71.35866	-156.53702	8.3564
71.35869	-156.53681	6.281
71.35871	-156.53687	5.2431
71.35874	-156.53689	4.5945
71.35878	-156.53691	6.0864
71.35881	-156.53694	4.2702
71.35884	-156.53696	8.8107
71.35888	-156.53699	18.865
71.35891	-156.53701	22.659
71.35893	-156.53706	9.5891
71.35896	-156.53707	3.5567
71.35899	-156.53709	3.9459
71.35904	-156.53711	7.1245
71.35906	-156.53714	4.0757
71.35911	-156.53717	5.5677
71.35914	-156.53719	5.3731
71.35918	-156.53724	4.919
71.35921	-156.53726	3.3298
71.35923	-156.53729	6.7353
71.35926	-156.53732	3.5892
71.35929	-156.53734	5.7623
71.35933	-156.53737	3.4271
71.35936	-156.53739	5.1785
71.35939	-156.53742	2.3892
71.35943	-156.53744	3.6217
71.35946	-156.53747	10.173
71.35949	-156.53749	6.7353
71.35954	-156.5375	8.2921
71.35958	-156.53755	5.3731
71.35961	-156.53759	2.973
71.35964	-156.53762	10.433
71.35968	-156.53765	7.5139
71.35971	-156.5377	9.9141
71.35976	-156.5377	10.174
71.35979	-156.53775	8.0977
71.35984	-156.53777	11.73
71.35988	-156.53782	8.941
71.35991	-156.53785	14.131
71.35994	-156.53787	7.6436
71.35998	-156.5379	11.86
71.36001	-156.53792	11.276
71.36004	-156.53795	5.2435
71.36009	-156.53799	3.4271
71.36012	-156.538	6.7355
71.36016	-156.53804	4.5299
71.36019	-156.53807	8.1628
71.36022	-156.53809	6.022
71.36026	-156.53812	3.8164
71.36029	-156.53815	8.3574
71.36032	-156.53819	1.9351
71.36036	-156.5382	3.1677
71.36039	-156.53824	6.7356
71.36044	-156.53827	22.371
71.36047	-156.5383	6.2169
71.36051	-156.53832	14.197
71.36056	-156.53837	7.9036
71.36059	-156.5384	6.2169
71.36062	-156.53842	11.148
71.36066	-156.53845	8.5527
71.36069	-156.53849	6.3468
71.36074	-156.5385	9.2015
71.36077	-156.53855	7.2551
71.36081	-156.53857	9.3312
71.36084	-156.5386	7.9039
71.36087	-156.53862	3.4273
71.36092	-156.53864	5.0493
71.36096	-156.53869	6.8659
71.36099	-156.53872	21.853
71.36102	-156.53875	19.063
71.36106	-156.53877	5.179
71.36109	-156.53882	5.6982
71.36114	-156.53884	4.3033
71.36117	-156.53887	9.4613
71.36121	-156.53889	14.068
71.36124	-156.5389	11.992
71.36127	-156.53894	7.3202
71.36131	-156.53897	5.1143
71.36134	-156.539	12.186
71.36137	-156.53902	17.117
71.36141	-156.53905	24.773
71.36144	-156.53909	18.739
71.36147	-156.53912	5.9577
71.36151	-156.53914	12.316
71.36154	-156.53917	8.4881
71.36157	-156.53919	2.9083
71.36161	-156.5392	6.6714
71.36164	-156.53924	5.8928
71.36167	-156.53927	5.6982
71.36171	-156.53929	4.2061
71.36174	-156.53935	4.8549
71.36177	-156.53935	3.979
71.36181	-156.53937	8.748
71.36184	-156.53942	11.019
71.36187	-156.53944	18.87
71.36191	-156.53947	13.225
71.36194	-156.5395	10.954
71.36197	-156.53954	7.7098
71.36201	-156.53955	4.271
71.36206	-156.5396	8.9427
71.36211	-156.53964	5.1145
71.36214	-156.53965	3.4923
71.36217	-156.53969	7.6452
71.36219	-156.53972	9.9812
71.36222	-156.53975	17.184
71.36226	-156.53979	13.29
71.36229	-156.53979	4.8551
71.36232	-156.53982	4.4657
71.36236	-156.53984	5.3093
71.36241	-156.53985	6.8666
71.36244	-156.5399	11.474
71.36247	-156.53992	11.863
71.36251	-156.53995	11.279
71.36254	-156.53997	7.191
71.36257	-156.54	3.6871
71.36261	-156.54004	6.2829
71.36266	-156.54007	2.7138
71.36269	-156.54009	4.7904
71.36274	-156.54012	9.5924
71.36277	-156.54015	4.8553
71.36281	-156.5402	6.5425
71.36284	-156.54022	4.4659
71.36287	-156.54024	9.268
71.36292	-156.5403	9.3978
71.36296	-156.5403	4.9202
71.36299	-156.54034	9.852
71.36302	-156.54037	4.5308
71.36306	-156.5404	7.2563
71.36311	-156.54044	11.864
71.36314	-156.54045	11.604
71.36317	-156.54049	16.471
71.36321	-156.54052	8.619
71.36324	-156.54054	7.3861
71.36327	-156.54057	10.112
71.36331	-156.5406	5.8287
71.36336	-156.54064	5.764
71.36337	-156.54065	8.5545
71.36341	-156.54069	8.4247
71.36344	-156.54072	3.0383
71.36347	-156.54075	3.6224
71.36352	-156.54077	6.4779
71.36356	-156.5408	3.4926
71.36359	-156.54084	3.3628
71.36362	-156.54087	6.2832
71.36366	-156.5409	1.351
71.36371	-156.54094	9.528
71.36374	-156.54095	3.7522
71.36377	-156.54099	14.72
71.36381	-156.541	8.9439
71.36384	-156.54105	10.372
71.36387	-156.54107	8.5548
71.36391	-156.5411	4.3364
71.36396	-156.54115	9.723
71.36399	-156.54117	5.1152
71.36402	-156.54119	3.947
71.36406	-156.54119	11.281
71.36409	-156.54124	19.912
71.36412	-156.54127	13.747
71.36416	-156.54127	7.5814
71.36419	-156.54129	13.552
71.36424	-156.54132	11.54
71.36427	-156.54135	12.19
71.36431	-156.54139	22.704
71.36434	-156.54142	20.335
71.36437	-156.54144	18.42
71.36441	-156.54147	20.692
71.36446	-156.5415	11.541
71.36449	-156.54152	12.774
71.36452	-156.54155	13.423
71.36456	-156.54159	8.6849
71.36459	-156.5416	10.535
71.36462	-156.54165	4.2068
71.36467	-156.5417	9.594
71.36471	-156.54172	19.135
71.36474	-156.54177	9.3993
71.36479	-156.5418	10.697
71.36482	-156.54182	12.385
71.36487	-156.54185	11.282
71.36491	-156.54189	6.9329
71.36494	-156.54194	17.123
71.36497	-156.54197	11.346
71.36502	-156.54197	4.3042
71.36506	-156.542	4.8559
71.36509	-156.54204	5.2453
71.36514	-156.54207	5.44
71.36517	-156.54212	7.9064
71.36521	-156.54219	21.473
71.36524	-156.5422	28.029
71.36527	-156.54227	35.884
71.36532	-156.5423	14.463
71.36536	-156.54234	26.082
71.36539	-156.54235	28.094
71.36542	-156.54237	18.228
71.36542	-156.54235	17.903
71.36546	-156.5424	11.931
71.36549	-156.54242	3.3632
71.36552	-156.54245	20.176
71.36556	-156.5425	7.6477
71.36561	-156.54254	8.0372
71.36562	-156.54259	7.5828
71.36566	-156.54262	17.093
71.36567	-156.54265	26.993
71.36571	-156.54265	23.877
71.36576	-156.54265	15.405
71.36581	-156.54267	10.569
71.36584	-156.5427	6.5441
71.36587	-156.54275	6.4792
71.36591	-156.54279	9.8552
71.36594	-156.54282	23.034
71.36597	-156.54287	11.219
71.36602	-156.54289	9.1736
71.36604	-156.5429	7.648
71.36609	-156.54292	4.5319
71.36612	-156.54297	4.5319
71.36616	-156.54297	4.2722
71.36619	-156.543	8.1024
71.36622	-156.54304	7.1286
71.36626	-156.54307	13.75
71.36631	-156.54309	5.5056
71.36634	-156.54312	3.6879
71.36636	-156.54317	4.0774
71.36639	-156.5432	3.623
71.36642	-156.54322	10.375
71.36646	-156.54325	23.813
71.36649	-156.54327	27.383
71.36653	-156.5433	24.852
71.36656	-156.54332	14.205
71.36659	-156.54335	20.308
71.36663	-156.54339	21.931
71.36668	-156.54344	10.7
71.36671	-156.54344	12.972
71.36674	-156.54347	11.673
71.36678	-156.5435	11.998
71.36681	-156.54352	10.18
71.36686	-156.54354	9.5634
71.36689	-156.54357	23.619
71.36693	-156.5436	15.634
71.36696	-156.54364	14.465
71.36701	-156.54367	5.1812
71.36704	-156.5437	11.251
71.36709	-156.54374	8.5571
71.36713	-156.54375	5.1812
71.36718	-156.54379	3.2335
71.36721	-156.54384	4.9865
71.36726	-156.54389	4.9216
71.36731	-156.5439	8.2327
71.36734	-156.54395	3.753
71.36738	-156.54399	4.6619
71.36741	-156.54399	2.5194
71.36746	-156.54402	7.1939
71.36748	-156.54407	12.193
71.36753	-156.5441	4.6619
71.36756	-156.54412	5.3761
71.36759	-156.54417	3.1037
71.36763	-156.54419	3.2985
71.36766	-156.54422	4.9866
71.36771	-156.54424	4.7269
71.36774	-156.54425	10.311
71.36778	-156.5443	11.479
71.36781	-156.54429	6.2851
71.36784	-156.54434	5.8306
71.36789	-156.54439	3.9478
71.36793	-156.54442	6.1553
71.36798	-156.54444	3.5582
71.36801	-156.54447	4.5321
71.36804	-156.54452	3.4933
71.36808	-156.54455	4.8567
71.36811	-156.54455	3.5582
71.36814	-156.5446	3.6556
