Latitude	Longitude	Snow Depth
71.30936	-156.55374	1.6761
71.30936	-156.55367	4.7402
71.30936	-156.55366	9.1692
71.30938	-156.55364	6.0446
71.3094	-156.55357	7.2884
71.3094	-156.55356	7.5008
71.30941	-156.55349	6.712
71.30943	-156.55344	13.75
71.30943	-156.55342	6.803
71.30945	-156.55339	10.201
71.30945	-156.55339	3.2841
71.30946	-156.55331	2.829
71.30948	-156.55327	11.596
71.3095	-156.55319	6.4087
71.30951	-156.55314	12.476
71.30953	-156.55309	11.02
71.30955	-156.55304	12.567
71.30956	-156.55299	17.815
71.30958	-156.55296	7.8041
71.3096	-156.55291	5.4683
71.30961	-156.55286	10.019
71.30963	-156.55279	13.57
71.30965	-156.55274	11.992
71.30966	-156.55269	13.965
71.30968	-156.55264	14.784
71.3097	-156.55261	11.173
71.30971	-156.55257	8.2302
71.30971	-156.55252	15.3
71.30973	-156.55249	30.5
71.30975	-156.55244	17.636
71.30976	-156.55237	34.384
71.30978	-156.55232	38.388
71.3098	-156.55227	41.912
71.3098	-156.55222	44.582
71.30981	-156.55219	44.582
71.30985	-156.55212	36.45
71.30986	-156.55209	30.776
71.30986	-156.55204	34.204
71.30988	-156.55199	29.714
71.3099	-156.55192	19.943
71.30993	-156.55184	8.1097
71.30995	-156.55181	13.632
71.30996	-156.55176	15.089
71.30998	-156.55169	20.095
71.31	-156.55162	12.176
71.31003	-156.55156	12.176
71.31005	-156.55152	9.8999
71.31006	-156.55147	4.5899
71.31008	-156.55142	21.583
71.3101	-156.55137	12.419
71.31011	-156.55131	15.453
71.31013	-156.55127	8.019
71.31015	-156.55121	19.246
71.31018	-156.55114	32.446
71.3102	-156.55107	7.3211
71.31021	-156.55102	6.1377
71.31023	-156.55092	8.6562
71.31025	-156.55089	7.7762
71.31026	-156.55084	5.3791
71.3103	-156.55077	11.023
71.31031	-156.55072	12.935
71.31033	-156.55066	9.2327
71.31035	-156.55061	7.9886
71.31036	-156.55056	6.7142
71.31038	-156.55051	8.8383
71.3104	-156.55044	18.518
71.31043	-156.55039	21.249
71.31045	-156.55032	20.797
71.31046	-156.55027	10.63
71.31048	-156.55021	11.085
71.3105	-156.55016	11.298
71.31053	-156.55009	10.751
71.31053	-156.55004	13.422
71.31056	-156.54992	12.542
71.31058	-156.54989	16.093
71.3106	-156.54986	15.759
71.31061	-156.54976	11.723
71.31065	-156.54973	8.0202
