Date/Time, Lon, Lat, Local X, Local Y, Snow Depth (m), Ice Thickness f1525Hz_hcp_i (m), Ice Thickness f1525Hz_hcp_q (m) Ice Thickness f5325Hz_hcp_i (m), Ice Thickness f5325Hz_hcp_q (m), Ice Thickness f18325Hz_hcp_i (m), Ice Thickness f18325Hz_hcp_q (m), Ice Thickness f63025Hz_hcp_i (m),Ice Thickness f63025Hz_hcp_q (m), Ice Thickness f93075Hz_hcp_i (m), Ice Thickness f93075Hz_hcp_q (m)
2020-01-31T06:38:04,96.44554,87.44204,224.81233357576156,-412.2723518194932,0.1991,1.5515052631578945,1.2415578947368422,1.362057894736842,1.191163157894737,1.231636842105263,1.1360315789473685,1.1560578947368418,1.1018736842105261,1.1452947368421054,1.0953999999999997
2020-01-31T06:38:08,96.4453817,87.4420433,225.66392628042286,-411.71057751901594,0.19519999999999998,1.5554052631578945,1.2454578947368422,1.365957894736842,1.195063157894737,1.235536842105263,1.1399315789473685,1.1599578947368419,1.1057736842105261,1.1491947368421054,1.0992999999999997
2020-01-31T06:38:15,96.445175,87.442045,226.3501445357353,-411.4921911933611,0.1884,1.5622052631578947,1.2522578947368421,1.372757894736842,1.2018631578947372,1.2423368421052632,1.1467315789473687,1.166757894736842,1.1125736842105263,1.1559947368421053,1.1060999999999996
2020-01-31T06:38:20,96.444925,87.4420517,227.08377624608437,-410.77578697466504,0.2546,1.657084210526316,1.3121105263157893,1.4598473684210531,1.2511631578947369,1.3181894736842106,1.1726631578947362,1.2065315789473685,1.0894789473684217,1.1851631578947368,1.068347368421053
2020-01-31T06:38:25,96.444735,87.4420566,228.27348945562895,-410.70296432615345,0.26239999999999997,1.7918307692307693,1.4509333333333336,1.6132923076923074,1.3908051282051281,1.481574358974359,1.2949076923076925,1.349779487179487,1.1600615384615385,1.3167538461538464,1.115805128205128
2020-01-31T06:38:27,96.4446883,87.44206,229.1187348235847,-410.5242445032468,0.29719999999999996,1.7570307692307694,1.4161333333333337,1.5784923076923074,1.3560051282051282,1.4467743589743591,1.2601076923076926,1.314979487179487,1.1252615384615385,1.2819538461538464,1.081005128205128
2020-01-31T06:38:32,96.444465,87.4420617,229.363554242686,-410.6489737721143,0.3017,1.7525307692307692,1.4116333333333335,1.5739923076923072,1.351505128205128,1.442274358974359,1.2556076923076924,1.310479487179487,1.1207615384615384,1.2774538461538463,1.076505128205128
2020-01-31T06:38:37,96.4442367,87.4420633,230.26429568085487,-410.0801210692092,0.3017,1.815931578947369,1.5996421052631575,1.7516947368421054,1.536957894736842,1.6422736842105266,1.4307210526315788,1.5054052631578947,1.247510526315789,1.461878947368421,1.1803526315789468
2020-01-31T06:38:42,96.444005,87.442065,231.1856720116188,-409.49338301075824,0.3196,2.054374358974359,1.862682051282051,2.0246051282051276,1.7905282051282048,1.9222717948717953,1.6593230769230765,1.7820666666666662,1.4127076923076922,1.7385282051282047,1.3130410256410254
2020-01-31T06:38:50,96.443625,87.4420683,232.12651012173376,-408.9124489905693,0.44630000000000003,1.9276743589743588,1.735982051282051,1.8979051282051276,1.6638282051282047,1.7955717948717953,1.5326230769230764,1.6553666666666662,1.2860076923076922,1.6118282051282047,1.1863410256410254
2020-01-31T06:39:00,96.443465,87.44207,233.69488691592426,-408.03162029369844,0.5287,2.450957894736842,2.2095894736842103,2.4351157894736843,2.109326315789473,2.3178789473684205,1.8979315789473687,2.099563157894737,1.529405263157895,2.0340105263157895,1.396431578947368
