Date/Time, Lon, Lat, Local X, Local Y, Snow Depth (m), Ice Thickness f1525Hz_hcp_i (m), Ice Thickness f1525Hz_hcp_q (m) Ice Thickness f5325Hz_hcp_i (m), Ice Thickness f5325Hz_hcp_q (m), Ice Thickness f18325Hz_hcp_i (m), Ice Thickness f18325Hz_hcp_q (m), Ice Thickness f63025Hz_hcp_i (m),Ice Thickness f63025Hz_hcp_q (m), Ice Thickness f93075Hz_hcp_i (m), Ice Thickness f93075Hz_hcp_q (m)
2020-02-12T10:37:52,87.3978583,87.877565,779.0034973613836,-231.27899314505618,0.19329999999999997,3.2594105263157895,3.444042105263158,3.4825684210526315,3.365436842105264,3.4245157894736846,3.2264894736842105,3.336226315789474,3.03427894736842,3.331068421052632,2.988436842105263
2020-02-12T10:38:01,87.3972283,87.8775733,779.9979424787807,-231.35361666810434,0.2758,3.163,3.517036363636365,3.483600000000001,3.4246363636363637,3.4854,3.272018181818182,3.3913272727272736,3.0557090909090903,3.3864545454545447,2.9950181818181814
2020-02-12T10:38:09,87.3968683,87.8775817,781.3912802885623,-230.91877417607088,0.32020000000000004,3.4087523809523805,3.6197206349206352,3.6118952380952383,3.532403174603174,3.601466666666666,3.3543238095238106,3.518466666666666,3.0970380952380943,3.5189111111111098,3.0213714285714275
2020-02-12T10:38:17,87.3963417,87.8775966,781.8103680580172,-230.776252493499,0.3674,3.6024169014084513,3.7385577464788744,3.7402901408450706,3.6244450704225377,3.7110507042253538,3.4238394366197182,3.6021070422535226,3.1504309859154924,3.5915859154929572,3.06890985915493
2020-02-12T10:38:26,87.3958933,87.8776017,783.0182322471409,-231.25009734027438,0.2899,3.867766666666667,4.068933333333332,4.055169444444444,4.038155555555558,4.142322222222223,3.810252777777778,4.061711111111111,3.3965027777777785,4.04432222222222,3.2810444444444453
2020-02-12T10:38:37,87.3951917,87.877615,783.5955661590642,-230.58288104012695,0.1495,4.008166666666667,4.2093333333333325,4.195569444444445,4.178555555555558,4.282722222222223,3.9506527777777776,4.202111111111112,3.536902777777778,4.184722222222221,3.421444444444445
2020-02-12T10:38:42,87.3947383,87.8776266,785.0459380459649,-230.45447818560842,0.19440000000000002,3.82464166666667,4.396836111111109,4.27558611111111,4.275877777777778,4.370711111111111,4.007225,4.264711111111112,3.559336111111112,4.229377777777776,3.4290027777777787
2020-02-12T10:38:49,87.39404,87.877645,786.3469081778151,-230.92778356092592,0.2113,4.044977777777779,4.8292833333333345,4.654200000000001,4.645352777777778,4.7726861111111125,4.241797222222223,4.615533333333334,3.6742277777777765,4.527325000000002,3.5098250000000006
2020-02-12T10:38:54,87.3936933,87.8776483,788.4637091038318,-231.79044885140888,0.22699999999999998,4.866971830985915,4.862985915492957,4.936380281690141,4.753352112676055,4.998619718309859,4.355985915492957,4.8329154929577465,3.7176901408450704,4.741591549295775,3.539774647887323
2020-02-12T10:39:00,87.393205,87.8776567,789.1914315039561,-231.4120919035921,0.1821,4.911871830985915,4.907885915492957,4.981280281690141,4.798252112676055,5.0435197183098595,4.400885915492958,4.877815492957747,3.76259014084507,4.786491549295775,3.5846746478873226
2020-02-12T10:39:06,87.3927566,87.8776634,790.4334170897757,-231.4046050509216,0.15960000000000002,4.838024999999998,5.038594444444445,5.026816666666665,4.905191666666666,5.136025000000001,4.497913888888889,4.969872222222224,3.858441666666665,4.894247222222221,3.6819138888888885
2020-02-12T10:39:11,87.39237,87.877665,791.4430685638274,-231.25844988250623,0.3247,4.672924999999998,4.873494444444445,4.861716666666665,4.740091666666666,4.970925000000001,4.332813888888889,4.804772222222224,3.693341666666665,4.729147222222221,3.5168138888888887
2020-02-12T10:39:20,87.3920866,87.8776766,792.2718532465062,-230.6887722015428,0.2977,4.901508333333331,5.016272222222221,4.993772222222224,4.9475083333333325,5.112411111111113,4.471230555555554,4.978980555555556,3.828175,4.884924999999999,3.646411111111111
2020-02-12T10:39:28,87.39163,87.8776834,792.2195159264678,-230.87795361094373,0.2281,4.971108333333331,5.08587222222222,5.063372222222223,5.017108333333332,5.1820111111111125,4.540830555555553,5.048580555555556,3.8977749999999998,4.9545249999999985,3.716011111111111
2020-02-12T10:39:33,87.3912417,87.8776883,792.9527207707774,-230.53363206717967,0.1416,5.057608333333331,5.17237222222222,5.149872222222223,5.103608333333332,5.2685111111111125,4.627330555555553,5.135080555555556,3.984275,5.0410249999999985,3.802511111111111
2020-02-12T10:39:49,87.3906,87.8777083,793.8427666454328,-230.32764351353796,0.2146,5.541723943661973,5.494414084507044,5.4169633802816906,5.325273239436622,5.557625352112677,4.790554929577466,5.440949295774646,4.076752112676055,5.353864788732395,3.889090140845073
2020-02-12T10:39:54,87.3902667,87.8777117,794.3035822300848,-230.51150001439515,0.2713,5.4850239436619725,5.437714084507044,5.36026338028169,5.268573239436622,5.500925352112676,4.733854929577466,5.384249295774646,4.020052112676055,5.2971647887323945,3.8323901408450727
2020-02-12T10:40:00,87.3896884,87.8777217,794.9439915468131,-230.17338143359768,0.2079,5.076169444444446,5.515947222222222,5.336294444444443,5.355363888888889,5.573697222222219,4.8829611111111095,5.563683333333331,4.150863888888885,5.488391666666666,3.951572222222224
2020-02-12T10:40:07,87.3891416,87.87773,796.5393279739658,-230.31332087001792,0.2584,5.820656338028169,5.586036619718308,5.533642253521128,5.4781492957746485,5.717078873239439,4.931092957746481,5.692952112676055,4.167670422535212,5.58136056338028,3.958332394366197
2020-02-12T10:40:14,87.3886717,87.87774,797.8200876829313,-230.15635462117388,0.4179,5.549127777777778,5.667350000000001,5.438836111111111,5.4510999999999985,5.638502777777776,4.861363888888889,5.670558333333334,4.0415722222222215,5.583447222222221,3.8308500000000003
2020-02-12T10:40:20,87.3881317,87.87775,798.814111948393,-230.23400724759645,0.5324,5.434627777777778,5.552850000000001,5.324336111111111,5.336599999999999,5.524002777777777,4.746863888888889,5.556058333333334,3.927072222222222,5.468947222222221,3.7163500000000003
2020-02-12T10:40:29,87.3875133,87.87776,800.2510088307669,-230.37508414387042,0.4999,6.5985927536231905,6.191099999999999,5.9914611111111125,5.747863888888889,6.131086111111112,4.87385,5.8736,4.044044444444445,5.6836416666666665,3.826433333333334
2020-02-12T10:40:37,87.3870883,87.8777666,801.5404204980158,-230.15079098426705,0.5325,6.268035211267608,6.153319444444445,6.04536111111111,5.741791666666669,6.172375,4.819902777777778,5.834722222222221,3.965319444444445,5.583472222222222,3.773305555555555
2020-02-12T10:40:45,87.3866,87.8777783,802.1388930737949,-229.7743249587511,0.6122,6.188335211267608,6.073619444444445,5.96566111111111,5.662091666666669,6.092675,4.740202777777778,5.755022222222221,3.8856194444444445,5.5037722222222225,3.6936055555555547
2020-02-12T10:40:55,87.3860684,87.8777884,803.079968152201,-229.92294125384126,0.5852,6.806014285714285,6.375194366197182,6.215278873239439,5.759983098591548,6.308180281690141,4.681546478873238,5.769278873239435,3.8361802816901407,5.545447887323943,3.6538140845070415
2020-02-12T10:41:11,87.3853583,87.877805,803.8598396142281,-229.6566650693082,0.6987000000000001,6.692514285714285,6.261694366197183,6.101778873239439,5.646483098591549,6.194680281690141,4.568046478873239,5.655778873239436,3.7226802816901405,5.431947887323943,3.5403140845070413
2020-02-12T10:41:20,87.38492,87.877815,804.5464296367294,-229.30119542426047,0.72,8.065057142857142,7.3473870967741925,7.189211267605636,5.980816901408453,7.3541690140845075,4.3946901408450705,5.633225352112674,3.434859154929577,5.126478873239437,3.25481690140845
2020-02-12T10:41:27,87.3845867,87.8778233,805.1041195029563,-229.13469699931053,1.155,7.630057142857143,6.912387096774192,6.754211267605635,5.545816901408452,6.919169014084507,3.95969014084507,5.198225352112673,2.9998591549295766,4.691478873239436,2.8198169014084495
2020-02-12T10:41:36,87.3840217,87.8778366,805.5153393426302,-229.0675277271845,0.948,nan,8.8885,nan,4.884722222222221,nan,3.6850694444444447,5.75838888888889,2.9690138888888886,4.817027777777778,2.834486111111111
2020-02-12T10:41:43,87.3834483,87.8778434,806.6454374178629,-229.1888777604604,0.21350000000000002,nan,9.623000000000001,nan,5.619222222222222,nan,4.419569444444445,6.49288888888889,3.7035138888888888,5.551527777777778,3.568986111111111
2020-02-12T10:41:52,87.3828667,87.8778566,808.0144330945749,-228.810498712783,0.2893,6.8780333333333346,nan,10.375380851063829,8.4701,11.509699999999999,4.808213888888889,6.62789718309859,3.648255555555555,5.586519444444444,3.4197972222222224
2020-02-12T10:42:00,87.38228,87.877865,809.2107890210611,-228.91087538638232,0.4235,9.62103846153846,8.72678846153846,10.122016129032254,6.208930555555557,10.564655555555554,4.4696388888888885,6.296972222222224,3.367680555555557,5.5489583333333306,3.160430555555555
2020-02-12T10:42:08,87.381815,87.8778766,810.5049211390806,-228.58962443896775,0.06413,9.98040846153846,9.08615846153846,10.481386129032254,6.568300555555557,10.924025555555554,4.829008888888889,6.656342222222224,3.727050555555557,5.908328333333331,3.519800555555555
2020-02-12T10:42:15,87.38126,87.8778866,811.4044126317706,-228.6655907802206,0.022019999999999998,10.02251846153846,9.128268461538461,10.523496129032255,6.610410555555556,10.966135555555555,4.871118888888888,6.698452222222223,3.769160555555557,5.95043833333333,3.561910555555555
2020-02-12T10:42:23,87.3808167,87.8778966,812.795038199154,-228.62581083420486,0.2528,8.576792592592593,6.872030985915492,8.568755555555558,5.116283333333335,6.905047222222223,3.808519444444443,4.8638111111111115,2.838269444444444,4.379075000000001,2.6114638888888893
2020-02-12T10:42:31,87.3804383,87.8779033,813.5795587812459,-228.53823433294383,0.4628,7.703657627118643,5.653200000000002,6.639523943661972,4.5702,5.881692957746481,3.4956788732394366,4.444664788732394,2.5539746478873235,4.045185915492959,2.327552112676057
2020-02-12T10:42:42,87.3798533,87.8779134,814.0445921379891,-228.12537700146493,0.6212,7.545257627118643,5.4948000000000015,6.481123943661972,4.4117999999999995,5.723292957746481,3.3372788732394367,4.286264788732393,2.3955746478873237,3.8867859154929585,2.1691521126760573
2020-02-12T10:42:48,87.3795017,87.8779217,814.9632557664975,-227.61662907640772,0.4235,6.2511,5.6583,6.0865,4.5691,5.560499999999999,3.5882999999999994,4.479500000000001,2.6532999999999998,4.1145000000000005,2.4238999999999997
2020-02-12T10:42:54,87.3791067,87.87793,815.6429781062055,-227.6278480640971,0.4179,6.2566999999999995,5.663899999999999,6.092099999999999,4.574699999999999,5.566099999999999,3.593899999999999,4.4851,2.6589,4.1201,2.4295
2020-02-12T10:42:59,87.3787184,87.8779366,816.5002597085798,-227.6128284062408,0.11130000000000001,3.8623527777777773,5.123019444444444,5.143852777777777,4.376658333333335,4.983963888888888,3.5437416666666652,4.200672222222223,2.7170194444444444,3.916894444444446,2.4869083333333335
2020-02-12T10:43:04,87.3782416,87.87794,817.4514162747594,-227.5295669492803,0.04672,3.926932777777777,5.187599444444444,5.2084327777777775,4.441238333333335,5.048543888888888,3.608321666666665,4.265252222222223,2.7815994444444443,3.9814744444444456,2.5514883333333334
2020-02-12T10:43:09,87.3778033,87.8779466,818.713379635921,-227.04941921172062,0.04729,3.1557600000000003,4.80101,4.590059999999998,4.3062475,4.690497499999999,3.6113725,4.19786,2.8192100000000013,3.9987475000000017,2.5961474999999994
2020-02-12T10:43:15,87.37739,87.877955,819.8703674796767,-226.94873381822345,0.06301,4.835772608695652,4.167410289855071,4.652656666666666,3.775323333333333,4.318772608695652,3.235497246376812,3.81467115942029,2.535323333333334,3.653497246376812,2.3265552173913036
2020-02-12T10:43:21,87.376935,87.8779617,820.8056552710224,-226.94914300985332,0.30670000000000003,4.666570833333333,3.625810416666666,4.1945395833333325,3.321831250000001,3.782477083333334,2.8456854166666656,3.2945500000000005,2.229258333333334,3.135164583333333,2.0401958333333323
2020-02-12T10:43:25,87.3767333,87.877965,821.8837861823813,-226.73654570454977,0.2899,4.683370833333333,3.6426104166666664,4.2113395833333325,3.3386312500000015,3.7992770833333345,2.862485416666666,3.311350000000001,2.2460583333333344,3.151964583333333,2.0569958333333327
